antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Armatimonadetes_9.0'}),frozenset({'Spirochaetes_7.0'}),0.6190476190476191,0.40476190476190477,0.3333333333333333,0.5384615384615384,1.330316742081448,0.082766439909297,1.2896825396825395,0.6517857142857139
frozenset({'Spirochaetes_7.0'}),frozenset({'Armatimonadetes_9.0'}),0.40476190476190477,0.6190476190476191,0.3333333333333333,0.8235294117647058,1.330316742081448,0.082766439909297,2.158730158730158,0.41714285714285687
frozenset({'Planctomycetes_9.0'}),frozenset({'Armatimonadetes_9.0'}),0.6428571428571429,0.6190476190476191,0.47619047619047616,0.7407407407407407,1.1965811965811965,0.07823129251700672,1.4693877551020404,0.45999999999999963
frozenset({'Armatimonadetes_9.0'}),frozenset({'Planctomycetes_9.0'}),0.6190476190476191,0.6428571428571429,0.47619047619047616,0.7692307692307692,1.1965811965811963,0.07823129251700672,1.547619047619047,0.43124999999999963
frozenset({'Armatimonadetes_9.0'}),frozenset({'Chloroflexi_10.0'}),0.6190476190476191,0.5952380952380952,0.42857142857142855,0.6923076923076923,1.1630769230769231,0.0600907029478458,1.3154761904761905,0.3680555555555555
frozenset({'Chloroflexi_10.0'}),frozenset({'Armatimonadetes_9.0'}),0.5952380952380952,0.6190476190476191,0.42857142857142855,0.72,1.163076923076923,0.0600907029478458,1.3605442176870746,0.34640522875816987
frozenset({'Armatimonadetes_9.0'}),frozenset({'Chrysiogenetes_10.0'}),0.6190476190476191,0.7380952380952381,0.5476190476190477,0.8846153846153847,1.1985111662531018,0.09070294784580502,2.269841269841271,0.43478260869565233
frozenset({'Chrysiogenetes_10.0'}),frozenset({'Armatimonadetes_9.0'}),0.7380952380952381,0.6190476190476191,0.5476190476190477,0.7419354838709677,1.1985111662531016,0.09070294784580502,1.476190476190476,0.632411067193676
frozenset({'Armatimonadetes_9.0'}),frozenset({'Aquificae_10.0'}),0.6190476190476191,0.47619047619047616,0.35714285714285715,0.5769230769230769,1.2115384615384615,0.06235827664399096,1.238095238095238,0.45833333333333365
frozenset({'Aquificae_10.0'}),frozenset({'Armatimonadetes_9.0'}),0.47619047619047616,0.6190476190476191,0.35714285714285715,0.7500000000000001,1.2115384615384617,0.06235827664399096,1.5238095238095244,0.3333333333333335
frozenset({'Armatimonadetes_9.0'}),frozenset({'Chlorobi_10.0'}),0.6190476190476191,0.5,0.4523809523809524,0.7307692307692307,1.4615384615384615,0.14285714285714285,1.8571428571428568,0.8289473684210527
frozenset({'Chlorobi_10.0'}),frozenset({'Armatimonadetes_9.0'}),0.5,0.6190476190476191,0.4523809523809524,0.9047619047619048,1.4615384615384615,0.14285714285714285,4.0,0.631578947368421
frozenset({'Armatimonadetes_9.0'}),frozenset({'Thermotogae_10.0'}),0.6190476190476191,0.5952380952380952,0.4523809523809524,0.7307692307692307,1.2276923076923076,0.08390022675736963,1.5034013605442174,0.4868421052631581
frozenset({'Thermotogae_10.0'}),frozenset({'Armatimonadetes_9.0'}),0.5952380952380952,0.6190476190476191,0.4523809523809524,0.76,1.2276923076923076,0.08390022675736963,1.5873015873015872,0.4582043343653252
frozenset({'Cyanobacteria_8.0'}),frozenset({'Armatimonadetes_9.0'}),0.5714285714285714,0.6190476190476191,0.40476190476190477,0.7083333333333334,1.1442307692307692,0.05102040816326531,1.306122448979592,0.2941176470588235
frozenset({'Armatimonadetes_9.0'}),frozenset({'Cyanobacteria_8.0'}),0.6190476190476191,0.5714285714285714,0.40476190476190477,0.6538461538461539,1.1442307692307694,0.05102040816326531,1.2380952380952381,0.33088235294117646
frozenset({'Planctomycetes_9.0'}),frozenset({'Spirochaetes_7.0'}),0.6428571428571429,0.40476190476190477,0.35714285714285715,0.5555555555555556,1.3725490196078431,0.09693877551020408,1.3392857142857144,0.7600000000000001
frozenset({'Spirochaetes_7.0'}),frozenset({'Planctomycetes_9.0'}),0.40476190476190477,0.6428571428571429,0.35714285714285715,0.8823529411764706,1.372549019607843,0.09693877551020408,3.0357142857142847,0.45599999999999996
frozenset({'Spirochaetes_7.0'}),frozenset({'Chrysiogenetes_10.0'}),0.40476190476190477,0.7380952380952381,0.35714285714285715,0.8823529411764706,1.1954459203036052,0.05839002267573695,2.2261904761904754,0.2746666666666666
frozenset({'Chrysiogenetes_10.0'}),frozenset({'Spirochaetes_7.0'}),0.7380952380952381,0.40476190476190477,0.35714285714285715,0.48387096774193544,1.1954459203036052,0.05839002267573695,1.1532738095238095,0.6242424242424242
frozenset({'Planctomycetes_9.0'}),frozenset({'Chloroflexi_10.0'}),0.6428571428571429,0.5952380952380952,0.47619047619047616,0.7407407407407407,1.2444444444444445,0.09353741496598633,1.5612244897959182,0.5499999999999997
frozenset({'Chloroflexi_10.0'}),frozenset({'Planctomycetes_9.0'}),0.5952380952380952,0.6428571428571429,0.47619047619047616,0.7999999999999999,1.2444444444444442,0.09353741496598633,1.785714285714285,0.4852941176470585
frozenset({'Planctomycetes_9.0'}),frozenset({'Chrysiogenetes_10.0'}),0.6428571428571429,0.7380952380952381,0.5476190476190477,0.8518518518518519,1.1541218637992832,0.07312925170068024,1.7678571428571426,0.3739130434782607
frozenset({'Chrysiogenetes_10.0'}),frozenset({'Planctomycetes_9.0'}),0.7380952380952381,0.6428571428571429,0.5476190476190477,0.7419354838709677,1.1541218637992832,0.07312925170068024,1.3839285714285712,0.509881422924901
